Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,exports,fertility_rate,gdp_current,gdp_growth,labor_force,life_expectancy,manufacturing,natural_resources,primary_energy_consumption,population,Total.including.LUCF,deaths_air_pollute,Total.excluding.LUCF
ESP,Spain,1/1/90,50.47891948,61.01233381,84372755468,1.36,5.36559E+11,3.781393555,15478563,76.83756098,void,0.123496157,27481.553,38867322,232970001.2,30.9,275609985.4
EST,Estonia,1/1/90,51.25939121,32.41330502,void,2.05,void,void,828685,69.47560976,void,void,81220.125,1569174,37729999.54,59.1,39520000.46
ETH,Ethiopia,1/1/90,96.39476,51.1462307,void,7.238,12175166763,2.726451783,19987748,44.557,563123333.3,11.89886966,323.2458,47878073,95139999.39,338.66,67449996.95
FIN,Finland,1/1/90,48.59465624,7.856462786,31323277873,1.78,1.41438E+11,0.670275844,2605354,74.81317073,27594464313,0.477098967,64748.938,4986431,38540000.92,19.64,69660003.66
FJI,Fiji,1/1/90,72.1139384,22.44116037,833547167.3,3.414,1337024782,5.80000272,284005,65.508,159366804,2.317327853,6955.363,780430,-819999.9928,163.91,1710000.038
FRA,France,1/1/90,51.86975539,55.8705252,2.6622E+11,1.77,1.26918E+12,2.923935081,25915650,76.6,2.05699E+11,0.108786331,47114.28,58044701,471019989,28.4,495850006.1
GAB,Gabon,1/1/90,92.61293388,7.782745372,2740347019,5.459,5952293766,5.192237277,284337,60.311,332397004.7,32.39964311,12861.861,983028,13880000.11,184.08,10229999.54
GBR,United Kingdom,1/1/90,53.24392523,75.24077212,2.55383E+11,1.83,1.09317E+12,0.733755503,29212288,75.8804878,1.80012E+11,1.005743449,43845.027,57247586,733869995.1,45.94,746349975.6
GEO,Georgia,1/1/90,51.15054777,46.46711757,3101400747,2.306,7753501868,-14.7882259,2371540,68.389,void,0.477428757,,4802000,31399999.62,160.64,49759998.32
GHA,Ghana,1/1/90,97.54416774,55.3968533,993968473.1,5.712,5889174825,3.328817883,6378334,55.62,574951475.7,6.847347404,1900.3718,15446982,21969999.31,215.78,11899999.62
