Index,Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,fertility_rate,GDP,labor_force ,life_expectancy,natural_resources_rents,energy_consumption_per_capita  ,population ,GHG_with_LUCF  ,deaths_air_pollute,GHG_without_LUCF  
57,POL,Poland,1/1/94,51.88,61.08,1.81,1.11E+11,17667188,71.7,0.96,28225.85,38542652,390470001.2,113.37,403630004.9
58,WSM,Samoa,1/1/90,80.95,19.08,4.93,125766269.8,55595,67.66,2.16,3541.17,168186,440000,188.99,330000.01
59,WSM,Samoa,1/1/91,80.64,19.08,4.89,125597205.4,56112,67.88,2.34,3531.63,168701,449999.99,186.71,340000
60,WSM,Samoa,1/1/92,80.42,18.37,4.89,132303041.4,56684,68.39,2.51,3271.49,169799,449999.99,184.84,340000
61,WSM,Samoa,1/1/93,80.24,18.37,4.87,133122897.2,57177,68.7,2.62,3560.58,171362,470000,182.38,360000.01
62,TKM,Turkmenistan,1/1/91,78.73,75.22,4.11,3208098919,1156779,64.04,69.17,40816.24,3821782,103319999.7,117.35,103319999.7
63,UZB,Uzbekistan,1/1/90,78.08,65.17,4.07,13360607918,7304509,65.35,9.94,25312.49,20510000,164440002.4,146.82,165190002.4
64,UZB,Uzbekistan,1/1/91,78.27,65.17,4.2,13677622222,7498122,65.13,6.59,24421.42,20952000,165770004.3,153.93,166529998.8
65,UZB,Uzbekistan,1/1/92,78.38,65.17,4,12941297376,7858924,65.11,7.53,22601.27,21449000,155289993.3,165.6,156029998.8
66,UZB,Uzbekistan,1/1/93,78.41,64.99,3.8,13099013836,8109751,64.83,8.23,23760.52,21942000,157869995.1,183.35,158610000.6
67,UZB,Uzbekistan,1/1/94,78.24,64.97,3.54,12899156991,8390470,64.69,8.32,22817.24,22377000,154050003.1,198.68,154800003.1
68,UZB,Uzbekistan,1/1/95,77.8,64.98,3.6,13350468917,8618107,64.65,7.97,22078.69,22785000,142410003.7,208.16,143160003.7
69,UZB,Uzbekistan,1/1/96,77.12,64.97,3.32,13948892216,8840600,64.71,9.9,22350.26,23225000,143710006.7,215.95,144460006.7
70,GNQ,Equatorial Guinea,1/1/02,82.85,7.45,5.73,1806742742,247294,54.09,57.98,37471.24,754115,13979999.54,168.8,10149999.62
71,GNQ,Equatorial Guinea,1/1/03,81.03,7.37,5.68,2484745935,261130,54.58,42.69,38771.44,789681,15250000,158.9,11420000.08
72,MDV,Maldives,1/1/00,78.06,30,2.71,624337145.3,92799,70.88,0.01,10129.74,282507,550000.01,107.69,550000.01
73,MDV,Maldives,1/1/01,73.89,33.33,2.52,870030468.6,96232,72.18,0.01,8351.58,287324,579999.98,99.95,579999.98
74,MDV,Maldives,1/1/02,69.97,40,2.41,897031250,99739,73.29,0.01,9816.17,292284,709999.98,87.21,709999.98
75,MMR,Myanmar,1/1/00,58.09,16.54,2.79,6849321646,22460695,60.16,0.17,1055.13,45538332,222350006.1,317.26,73489997.86
76,PNG,Papua New Guinea,1/1/05,71.21,2.27,4.22,4865892972,2416370,61.8,29.18,3417.07,6498818,49400001.53,292.52,14800000.19
77,ARE,United Arab Emirates,1/1/90,44.33,4.01,4.54,50701443748,971329,71.9,36.71,181538.77,1900151,73250000,172.13,73250000
78,ETH,Ethiopia,1/1/90,96.39,51.15,7.24,12175166763,19987748,44.56,11.9,323.25,47878073,95139999.39,338.66,67449996.95
79,LSO,Lesotho,1/1/90,86.95,76.45,4.76,596415104.5,768779,59.4,3.9,489.15,1798997,1960000.04,210.71,1940000.06
80,MWI,Malawi,1/1/90,98.99,44.74,6.81,1880771556,4132703,43.32,8.83,493.37,9539665,11670000.08,246.98,3180000.07
81,SUR,Suriname,1/1/90,67.57,0.56,3.27,388400000,126280,64.23,25.03,24363.62,412756,6110000.13,103.63,2859999.9
82,ZMB,Zambia,1/1/90,105.8,27.99,6.53,3285217391,2335479,47.93,20.98,4286.73,7686401,59540000.92,235.58,27459999.08
83,ARE,United Arab Emirates,1/1/91,42.76,4.36,4.25,51552165622,1042316,72.24,24.91,209539.7,2008383,81069999.69,173.43,81069999.69
84,ETH,Ethiopia,1/1/91,97.33,51.01,7.21,13463868357,20763893,46.13,11.23,268.7,49937430,95529998.78,333.37,67849998.47
85,LSO,Lesotho,1/1/91,86.5,76.52,4.65,704329192.8,782416,59.19,3.5,488.64,1829509,1960000.04,206.97,1940000.06
86,MWI,Malawi,1/1/91,98.87,45.82,6.72,2203545857,4256981,43.31,7.16,547.2,9831584,11859999.66,245.02,3369999.89
87,SUR,Suriname,1/1/91,67.51,0.57,3.23,448100000,127431,64.45,20.12,24812.1,415981,6469999.79,106.14,3220000.03
88,ZMB,Zambia,1/1/91,105.41,28.01,6.45,3378882353,2397339,47.1,5.82,4023.27,7880466,59909999.85,237.61,27819999.69
89,ARE,United Arab Emirates,1/1/92,41.24,4.77,4.09,54239171888,1115373,72.31,23.47,192178.89,2116231,79190002.44,175.33,79190002.44
90,ETH,Ethiopia,1/1/92,98.1,50.96,7.16,10492993078,21552849,46.9,15.08,347.05,52011554,96370002.75,330.92,68690002.44
91,LSO,Lesotho,1/1/92,85.88,76.94,4.52,831033941.1,796054,58.56,3.08,500.83,1858507,2119999.89,204.46,2099999.91
92,MWI,Malawi,1/1/92,98.68,45.29,6.65,1799517082,4377261,43.41,9.1,539.48,10115420,11859999.66,245.12,3369999.89
93,SUR,Suriname,1/1/92,67.6,0.57,3.2,404600000,128325,64.65,23.12,24010.21,419521,6579999.92,106.94,3319999.93
94,TJK,Tajikistan,1/1/92,91.31,32.07,4.97,2156666667,1413524,55.07,0.51,14639.24,5656208,13979999.54,204.94,13949999.81
95,ZMB,Zambia,1/1/92,105.11,28.34,6.36,3181921788,2457212,46.51,5.82,4027.77,8074337,60060001.37,238.03,27979999.54
